period,pair,classifier_group,repetitions,stronger_single_model,stronger_single_sharpe,causal_single_sharpe,wins_vs_stronger_single,wins_vs_causal_single,mean_fallback_day_rate,mean_selected_blocks,mean_selected_tau,mean_threshold_quantile,mean_branch_divergence_rate,mean_ensemble_mode_hit_rate,cumulative_return_mean,cumulative_return_sd,cumulative_return_ci_low,cumulative_return_ci_high,annualized_return_mean,annualized_return_sd,annualized_return_ci_low,annualized_return_ci_high,sharpe_mean,sharpe_sd,sharpe_ci_low,sharpe_ci_high,calmar_mean,calmar_sd,calmar_ci_low,calmar_ci_high,max_drawdown_mean,max_drawdown_sd,max_drawdown_ci_low,max_drawdown_ci_high,delta_sharpe_vs_stronger_mean,delta_sharpe_vs_stronger_sd,delta_sharpe_vs_stronger_ci_low,delta_sharpe_vs_stronger_ci_high,delta_sharpe_vs_causal_single_mean,delta_sharpe_vs_causal_single_sd,delta_sharpe_vs_causal_single_ci_low,delta_sharpe_vs_causal_single_ci_high
2020,a2c_ppo,1,30,ppo,0.5877200594384551,0.2503804953160116,0,29,0.0669344042838018,3.733333333333333,0.2274779116465864,0.4587282463186077,1.0,0.5555803860603705,0.0547775136931646,0.0203742892855531,0.0471696290418543,0.062385398344475,0.0547775136931646,0.0203742892855531,0.0471696290418543,0.062385398344475,0.3266328105974635,0.0547701671957231,0.3061812940553133,0.3470843271396137,0.1734986034643428,0.0644991480750614,0.1494142257574454,0.1975829811712401,-0.3156960102688194,0.0002651109145782,-0.3157950043112445,-0.3155970162263943,-0.2610872488409915,0.0547701671957231,-0.2815387653831417,-0.2406357322988413,0.0762523152814519,0.0547701671957231,0.0558007987393016,0.0967038318236021
2020,a2c_ppo,2,30,ppo,0.5877200594384551,0.2503804953160116,0,2,0.0,4.0,0.2438152610441767,0.5405609103078982,1.0,0.5601070950468542,0.0074670343860553,0.0069805181139456,0.0048604660845569,0.0100736026875537,0.0074670343860553,0.0069805181139456,0.0048604660845569,0.0100736026875537,0.1943562629082131,0.0194572287581906,0.1870908142855985,0.2016217115308276,0.0238687654172257,0.0223510061180555,0.0155227625700259,0.0322147682644255,-0.3129695207822207,0.0001463339928426,-0.3130241627931644,-0.3129148787712769,-0.3933637965302418,0.0194572287581906,-0.4006292451528563,-0.3860983479076272,-0.0560242324077984,0.0194572287581906,-0.063289681030413,-0.0487587837851838
2020,a2c_ppo,3,30,ppo,0.5877200594384551,0.2503804953160116,0,3,0.841231593038822,0.6333333333333333,0.2121590909090909,0.3582413620256427,0.4666666666666667,0.7389582490900706,0.0295004519049881,0.018245663562872,0.022687409161388,0.0363134946485882,0.0295004519049881,0.018245663562872,0.022687409161388,0.0363134946485882,0.2598037996255258,0.0489812448672747,0.2415139022060342,0.2780936970450174,0.0930281975397877,0.0575367862037519,0.0715436084819679,0.1145127865976074,-0.317113011808822,5.646012854083702e-17,-0.317113011808822,-0.317113011808822,-0.3279162598129292,0.0489812448672747,-0.3462061572324208,-0.3096263623934376,0.0094233043095142,0.0489812448672747,-0.0088665931099773,0.0277132017290057
2020,a2c_ppo,4,30,ppo,0.5877200594384551,0.2503804953160116,0,30,0.0,4.0,0.2269183400267738,0.4706532797858098,1.0,0.5642570281124499,0.0448178004885571,0.0145894752415483,0.0393700009012826,0.0502656000758316,0.0448178004885571,0.0145894752415483,0.0393700009012826,0.0502656000758316,0.2979498701622108,0.0398099933348946,0.2830845743466622,0.3128151659777595,0.1434399104789675,0.0466937913010057,0.12600416225867,0.160875658699265,-0.3124500032027611,5.646012854083702e-17,-0.3124500032027611,-0.3124500032027611,-0.2897701892762442,0.0398099933348946,-0.3046354850917929,-0.2749048934606955,0.0475693748461992,0.0398099933348946,0.0327040790306505,0.0624346706617479
2020,a2c_ppo,5,30,ppo,0.5877200594384551,0.2503804953160116,0,18,0.0912985274431057,3.633333333333333,0.2317990392944326,0.520657532089141,0.790763052208835,0.6159991123137826,0.0419630387614966,0.0221571633313477,0.0336894180004198,0.0502366595225734,0.0419630387614966,0.0221571633313477,0.0336894180004198,0.0502366595225734,0.2905018622083414,0.0610685807534181,0.2676984793919075,0.3133052450247753,0.1329881569509405,0.0702687906388103,0.1067493593038386,0.1592269545980424,-0.3155409197762767,0.0005160353188062,-0.3157336105311029,-0.3153482290214506,-0.2972181972301136,0.061068580753418,-0.3200215800465475,-0.2744148144136797,0.0401213668923298,0.061068580753418,0.0173179840758959,0.0629247497087637
2020,a2c_sac,1,30,sac,0.2810289911393602,0.2611299216985483,27,27,0.3074966532797857,2.7666666666666666,0.3621777613866861,0.8960842706988749,1.0,0.5805261936911482,0.1665620670551645,0.0613349218263441,0.1436592308476292,0.1894649032626997,0.1665620670551645,0.0613349218263441,0.1436592308476292,0.1894649032626997,0.5922154039508879,0.1453764478074654,0.5379309461994867,0.6464998617022891,0.5252451361269896,0.1934166039939133,0.4530221892447512,0.597468083009228,-0.317113011808822,5.646012854083702e-17,-0.317113011808822,-0.317113011808822,0.3111864128115276,0.1453764478074654,0.2569019550601263,0.3654708705629288,0.3310854822523395,0.1453764478074654,0.2768010245009383,0.3853699400037407
2020,a2c_sac,2,30,sac,0.2810289911393602,0.2611299216985483,30,30,0.2489959839357428,3.0,0.3699999999999998,0.9149999999999996,1.0,0.5828877005347591,0.196159774241627,0.0,0.196159774241627,0.196159774241627,0.196159774241627,0.0,0.196159774241627,0.196159774241627,0.6614666310564087,1.1292025708167404e-16,0.6614666310564087,0.6614666310564087,0.6185800233258348,2.2584051416334807e-16,0.6185800233258348,0.6185800233258348,-0.317113011808822,5.646012854083702e-17,-0.317113011808822,-0.317113011808822,0.3804376399170482,1.1292025708167404e-16,0.3804376399170482,0.3804376399170482,0.4003367093578603,1.1292025708167404e-16,0.4003367093578603,0.4003367093578603
2020,a2c_sac,3,30,sac,0.2810289911393602,0.2611299216985483,2,2,0.833467202141901,0.6666666666666666,0.1833333333333332,0.3556867469879517,0.2111111111111111,0.8639984453944812,0.0278097483060505,0.0425512822965479,0.0119208383695932,0.0436986582425078,0.0278097483060505,0.0425512822965479,0.0119208383695932,0.0436986582425078,0.2497369263679434,0.117934687067692,0.205699390480221,0.2937744622556657,0.0876966484201417,0.1341833375232196,0.037591766738288,0.1378015301019953,-0.317113011808822,5.646012854083702e-17,-0.317113011808822,-0.317113011808822,-0.0312920647714167,0.117934687067692,-0.075329600659139,0.0127454711163056,-0.0113929953306048,0.117934687067692,-0.0554305312183271,0.0326445405571174
2020,a2c_sac,4,30,sac,0.2810289911393602,0.2611299216985483,29,29,0.2740294511378848,2.9,0.3668983957219249,0.9053448275862066,1.0,0.5825189009773186,0.1876964180205867,0.0337521319664364,0.1750931648156501,0.2002996712255234,0.1876964180205867,0.0337521319664364,0.1750931648156501,0.2002996712255234,0.6413932775740616,0.0807145518240743,0.6112539685972725,0.6715325865508507,0.5918912533735552,0.1064356576663735,0.552147525631047,0.6316349811160634,-0.317113011808822,5.646012854083702e-17,-0.317113011808822,-0.317113011808822,0.3603642864347012,0.0807145518240743,0.3302249774579122,0.3905035954114902,0.3802633558755132,0.0807145518240743,0.3501240468987242,0.4104026648523022
2020,a2c_sac,5,30,sac,0.2810289911393602,0.2611299216985483,11,14,0.7661311914323962,0.9333333333333332,0.2935714285714286,0.6677657142857143,0.8278447121820616,0.6408756253234431,0.0738077768625457,0.0638774714350876,0.0499555370280938,0.0976600166969977,0.0738077768625457,0.0638774714350876,0.0499555370280938,0.0976600166969977,0.3717393132684746,0.1598564727695067,0.3120479253358367,0.4314307012011125,0.2327491276423631,0.2014344068404152,0.1575322839739243,0.3079659713108019,-0.317113011808822,5.646012854083702e-17,-0.317113011808822,-0.317113011808822,0.0907103221291143,0.1598564727695067,0.0310189341964764,0.1504017100617523,0.1106093915699262,0.1598564727695067,0.0509180036372883,0.1703007795025641
2020,ppo_sac,1,30,ppo,0.5877200594384551,0.3792602255874333,0,22,0.4666666666666667,2.1333333333333333,0.1438980923694779,0.1251782128514056,1.0,0.5436746987951808,0.062195212460154,0.0463636901631542,0.044882726030481,0.0795076988898269,0.062195212460154,0.0463636901631542,0.044882726030481,0.0795076988898269,0.3522581658450218,0.1272408780793568,0.3047456411237007,0.3997706905663428,0.2479978835758972,0.1620065070622541,0.187503659644107,0.3084921075076873,-0.2740543193704009,0.0672581406954001,-0.299168921853003,-0.2489397168877988,-0.2354618935934333,0.1272408780793568,-0.2829744183147544,-0.1879493688721123,-0.0270020597424115,0.1272408780793568,-0.0745145844637326,0.0205104649789095
2020,ppo_sac,2,30,ppo,0.5877200594384551,0.3792602255874333,30,30,0.2489959839357428,3.0,0.15,0.2014171122994651,1.0,0.5508021390374331,0.1571034816546683,0.0,0.1571034816546683,0.1571034816546683,0.1571034816546683,0.0,0.1571034816546683,0.1571034816546683,0.6672510714008131,1.1292025708167404e-16,0.6672510714008131,0.6672510714008131,0.7695637622848994,2.2584051416334807e-16,0.7695637622848994,0.7695637622848994,-0.2041461531247455,2.823006427041851e-17,-0.2041461531247455,-0.2041461531247455,0.0795310119623581,2.823006427041851e-17,0.0795310119623581,0.0795310119623581,0.2879908458133798,5.646012854083702e-17,0.2879908458133798,0.2879908458133798
2020,ppo_sac,3,30,ppo,0.5877200594384551,0.3792602255874333,0,28,0.8993306559571619,0.4,0.16375,0.5081199999999999,0.358768406961178,0.720063492063492,0.072278505219737,0.0162941309230404,0.0661941767399338,0.0783628336995402,0.072278505219737,0.0162941309230404,0.0661941767399338,0.0783628336995402,0.3922233560246952,0.052948138897572,0.3724521960304215,0.4119945160189688,0.3540527416922255,0.079816007667231,0.3242489546177499,0.3838565287667012,-0.2041461531247455,2.823006427041851e-17,-0.2041461531247455,-0.2041461531247455,-0.1954967034137599,0.052948138897572,-0.2152678634080335,-0.1757255434194862,0.0129631304372618,0.052948138897572,-0.0068080295570117,0.0327342904315355
2020,ppo_sac,4,30,ppo,0.5877200594384551,0.3792602255874333,30,30,0.2489959839357428,3.0,0.15,0.2014171122994651,1.0,0.5805704099821746,0.2031338051814122,0.0439472532812721,0.1867236311125227,0.2195439792503018,0.2031338051814122,0.0439472532812721,0.1867236311125227,0.2195439792503018,0.8005814880452078,0.1273087691004055,0.7530436123999964,0.8481193636904192,0.9950410628471908,0.2152734822997998,0.9146566234751594,1.0754255022192225,-0.2041461531247455,2.823006427041851e-17,-0.2041461531247455,-0.2041461531247455,0.2128614286067528,0.1273087691004055,0.1653235529615414,0.2603993042519642,0.4213212624577745,0.1273087691004055,0.3737833868125631,0.4688591381029859
2020,ppo_sac,5,30,ppo,0.5877200594384551,0.3792602255874333,13,30,0.3741633199464524,2.5,0.15,0.2015497326203208,0.6572958500669344,0.6740106951871658,0.1333506946580365,0.0393097677645235,0.1186721861402276,0.1480292031758453,0.1333506946580365,0.0393097677645235,0.1186721861402276,0.1480292031758453,0.5887956421557233,0.1230569008240197,0.5428454402176015,0.6347458440938452,0.6532118906818256,0.1925569850953937,0.5813099307715677,0.7251138505920836,-0.2041461531247455,2.823006427041851e-17,-0.2041461531247455,-0.2041461531247455,0.0010755827172682,0.1230569008240197,-0.0448746192208535,0.0470257846553901,0.20953541656829,0.1230569008240197,0.1635852146301682,0.2554856185064119
