outcome,outcome_label,feature,feature_label,feature_stage,spearman_rho,permutation_p,within_pair_spearman_rho,within_pair_permutation_p,analysis_unit,units,permutation_q_bh,within_pair_q_bh
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,realized_block_advantage_mean,Realized block log advantage,realized_mechanism,0.8428571428571429,0.0002799944001119978,0.8035714285714285,0.0013799724005519889,15_pair_group_configurations,15,0.004199916001679967,0.019319613607727843
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,crossover_persistence_rate,Supported crossover persistence,realized_mechanism,0.8455943246644703,0.01869962600747985,0.5892343393682835,0.23179536409271814,15_pair_group_configurations,8,0.14024719505609887,0.3245135097298054
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,branch_divergence_rate,Branch divergence rate,decision_structure,0.4109697116529438,0.12869742605147896,0.6065337679625364,0.04903901921961561,15_pair_group_configurations,15,0.5592638147237056,0.17163656726865462
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,mode_gap_balance,Two-sided mode-gap balance,realized_mechanism,-0.39285714285714285,0.1491370172596548,-0.34285714285714286,0.22223555528889422,15_pair_group_configurations,15,0.5592638147237056,0.3245135097298054
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,selected_block_win_rate,Selected-block win rate,realized_mechanism,0.3084011044367361,0.2616547669046619,0.6475860093678133,0.007639847203055939,15_pair_group_configurations,15,0.7764701848820167,0.035652620280927715
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,mean_selected_tau,Mean selected tau,decision_structure,0.2724031834384085,0.3234335313293734,0.5125480951538476,0.10389792204155916,15_pair_group_configurations,15,0.7764701848820167,0.2909141817163657
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,mean_threshold_quantile,Mean threshold quantile,decision_structure,0.25022351367897716,0.3623527529449411,0.3914210678264002,0.2267554648907022,15_pair_group_configurations,15,0.7764701848820167,0.3245135097298054
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,historical_policy_advantage_mean,Historical policy advantage,realized_mechanism,0.19285714285714284,0.49289014219715604,0.1678571428571428,0.5980480390392192,15_pair_group_configurations,15,0.7917441651166978,0.6440517343499284
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,selected_day_rate,Active day rate,decision_structure,0.17219904080020199,0.5337293254134917,0.7191424744913285,0.003999920001599968,15_pair_group_configurations,15,0.7917441651166978,0.027999440011199778
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,mean_holding_dispersion,Holding dispersion,decision_structure,0.15118578920369086,0.6127677446451071,,,15_pair_group_configurations,15,0.7917441651166978,
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,selected_agent_switch_rate,Selected-agent switch rate,decision_structure,-0.11985707908188813,0.6679866402671947,0.16264528389133526,0.5399292014159717,15_pair_group_configurations,15,0.7917441651166978,0.629917401651967
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,aggressive_day_rate,Aggressive day rate,decision_structure,0.11469607723722457,0.6840863182736345,0.412189027571276,0.1863962720745585,15_pair_group_configurations,15,0.7917441651166978,0.3245135097298054
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,mean_counterfactual_regret,Counterfactual regret,realized_mechanism,0.09285714285714283,0.745785084298314,0.2892857142857142,0.34109317813643725,15_pair_group_configurations,15,0.7917441651166978,0.43411859035546563
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,mean_vote_margin,Vote margin,decision_structure,-0.08960631034158176,0.7559248815023699,-0.12857142857142856,0.6537469250614988,15_pair_group_configurations,15,0.7917441651166978,0.6537469250614988
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,ensemble_mode_hit_rate,Mode hit rate,realized_mechanism,-0.07499999999999997,0.7917441651166977,-0.4428571428571428,0.15841683166336673,15_pair_group_configurations,15,0.7917441651166978,0.3245135097298054
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,base_block_rank_switches,Base block-rank switches,pair_retrospective,0.8660254037844387,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,base_dominance_index,Base dominance index,pair_retrospective,-1.0,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,base_return_correlation,Base return correlation,pair_retrospective,-1.0,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,base_sharpe_gap,Base Sharpe gap,pair_retrospective,-1.0,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_causal_single,Delta Sharpe vs causal single,weaker_better_day_rate,Weaker-model daily win rate,pair_retrospective,1.0,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,realized_block_advantage_mean,Realized block log advantage,realized_mechanism,0.7071428571428571,0.003899922001559969,0.8035714285714285,0.001739965200695986,15_pair_group_configurations,15,0.058498830023399534,0.024359512809743807
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,mode_gap_balance,Two-sided mode-gap balance,realized_mechanism,-0.5821428571428571,0.024539509209815805,-0.34285714285714286,0.22131557368852622,15_pair_group_configurations,15,0.18404631907361854,0.32280554388912225
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,selected_agent_switch_rate,Selected-agent switch rate,decision_structure,-0.3559934139894885,0.1870162596748065,0.16264528389133526,0.5432691346173076,15_pair_group_configurations,15,0.6459995800083997,0.6338139903868589
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,mean_holding_dispersion,Holding dispersion,decision_structure,0.32126980205784317,0.250814983700326,,,15_pair_group_configurations,15,0.6459995800083997,
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,mean_threshold_quantile,Mean threshold quantile,decision_structure,0.29311897316680197,0.28481430371392574,0.3914210678264002,0.22313553728925423,15_pair_group_configurations,15,0.6459995800083997,0.32280554388912225
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,historical_policy_advantage_mean,Historical policy advantage,realized_mechanism,0.2857142857142857,0.3040139197216056,0.1678571428571428,0.5964080718385633,15_pair_group_configurations,15,0.6459995800083997,0.6422856158261451
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,mean_selected_tau,Mean selected tau,decision_structure,0.2724031834384085,0.3253334933301334,0.5125480951538476,0.10567788644227115,15_pair_group_configurations,15,0.6459995800083997,0.2958980820383592
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,branch_divergence_rate,Branch divergence rate,decision_structure,0.2618924633082486,0.3445331093378132,0.6065337679625364,0.050338993220135596,15_pair_group_configurations,15,0.6459995800083997,0.1761864762704746
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,mean_vote_margin,Vote margin,decision_structure,0.1971338827514799,0.47945041099178015,-0.12857142857142856,0.6563868722625548,15_pair_group_configurations,15,0.7732945341093178,0.6563868722625548
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,selected_day_rate,Active day rate,decision_structure,-0.18116774084187923,0.5155296894062119,0.7191424744913285,0.004819903601927962,15_pair_group_configurations,15,0.7732945341093178,0.033739325213495736
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,mean_counterfactual_regret,Counterfactual regret,realized_mechanism,0.1428571428571428,0.6104477910441791,0.2892857142857142,0.3425931481370373,15_pair_group_configurations,15,0.8324288059693352,0.436027643083502
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,aggressive_day_rate,Aggressive day rate,decision_structure,0.10752757240989808,0.7082458350832983,0.412189027571276,0.18407631847363054,15_pair_group_configurations,15,0.8767670800430145,0.32280554388912225
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,crossover_persistence_rate,Supported crossover persistence,realized_mechanism,-0.13638618139749525,0.759864802703946,0.5892343393682835,0.23057538849223017,15_pair_group_configurations,8,0.8767670800430145,0.32280554388912225
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,ensemble_mode_hit_rate,Mode hit rate,realized_mechanism,0.042857142857142885,0.8818023639527209,-0.4428571428571428,0.16061678766424672,15_pair_group_configurations,15,0.9200215995680087,0.32280554388912225
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,selected_block_win_rate,Selected-block win rate,realized_mechanism,-0.028856243689987016,0.9200215995680087,0.6475860093678133,0.008339833203335933,15_pair_group_configurations,15,0.9200215995680087,0.038919221615567684
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,base_block_rank_switches,Base block-rank switches,pair_retrospective,0.8660254037844387,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,base_dominance_index,Base dominance index,pair_retrospective,-1.0,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,base_return_correlation,Base return correlation,pair_retrospective,-1.0,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,base_sharpe_gap,Base Sharpe gap,pair_retrospective,-1.0,,,,3_rl_pairs_descriptive,3,,
delta_sharpe_vs_stronger,Delta Sharpe vs stronger single,weaker_better_day_rate,Weaker-model daily win rate,pair_retrospective,1.0,,,,3_rl_pairs_descriptive,3,,
