pair,classifier_group,selected_global_tau,ensemble_return_mean,ensemble_return_sd,ensemble_return_ci_low,ensemble_return_ci_high,ensemble_sharpe_mean,ensemble_sharpe_sd,ensemble_sharpe_ci_low,ensemble_sharpe_ci_high,ensemble_calmar_mean,ensemble_calmar_sd,ensemble_calmar_ci_low,ensemble_calmar_ci_high,ensemble_mdd_mean,ensemble_mdd_sd,ensemble_mdd_ci_low,ensemble_mdd_ci_high,stronger_component,component_sharpe_mean,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,win_rate_vs_stronger,wins_vs_stronger,n_backtests
a2c_ppo,1,0.4,0.589545013773334,0.002015222493914882,0.5887925173271732,0.5902975102194948,2.22472094134477,0.005876033977416871,2.2225267941978037,2.2269150884917366,4.105672562985899,0.01506849636937817,4.100045893969856,4.111299232001942,-0.18463161035616044,0.00013702970225622164,-0.18468277808790104,-0.18458044262441983,ppo,1.8413295497115678,0.3833913916332018,0.005876033977416871,0.3811972444862352,0.3855855387801684,1.0,30,30
a2c_ppo,2,0.23,0.6381354425899999,2.2584051416334807e-16,0.6381354425899999,0.6381354425899999,2.45741364237592,4.516810283266961e-16,2.45741364237592,2.45741364237592,4.110758346347747,1.8067241133067846e-15,4.110758346347747,4.110758346347747,-0.20037072114093216,2.823006427041851e-17,-0.20037072114093216,-0.20037072114093216,ppo,1.8413295497115678,0.6160840926643516,0.0,0.6160840926643516,0.6160840926643516,1.0,30,30
a2c_ppo,3,0.29,0.4069169513130006,0.1645264975481703,0.3454817474691973,0.4683521551568039,1.6448370104866565,0.5615973870648413,1.4351330997693308,1.8545409212039823,2.4749010966864597,1.3742539539307084,1.96174623682465,2.988055956548269,-0.22711029043752642,0.03446815595746733,-0.23998091139477998,-0.21423966948027287,ppo,1.8413295497115678,-0.19649253922491114,0.5615973870648413,-0.4061964499422368,0.013211371492414553,0.4,12,30
a2c_ppo,4,0.4,0.5803379943163344,0.0002834989482576983,0.5802321340692905,0.5804438545633782,2.1983048637100415,0.0014960279926859723,2.1977462376768107,2.1988634897432724,4.050754608733088,0.007739068192259854,4.047864793177309,4.053644424288867,-0.1840766304062815,0.00026291117693738673,-0.18417480305317221,-0.18397845775939078,ppo,1.8413295497115678,0.35697531399847426,0.001496027992685972,0.3564166879652434,0.35753394003170513,1.0,30,30
a2c_ppo,5,0.4,0.5873055998713342,0.01175949418350456,0.5829145325780425,0.591696667164626,2.218906147817466,0.03359524807921929,2.2063614760187744,2.2314508196161573,4.0898001406679665,0.08516942589345759,4.0579973543751855,4.1216029269607475,-0.1846136144254065,0.00019875613711898833,-0.18468783118672505,-0.18453939766408795,ppo,1.8413295497115678,0.3775765981058979,0.03359524807921929,0.36503192630720666,0.3901212699045891,1.0,30,30
a2c_sac,1,0.01,0.5819839969679996,0.0022135587346522514,0.581157440552406,0.5828105533835932,2.2302721602642106,0.006977087628136815,2.2276668729271654,2.232877447601256,4.15820048340485,0.017744248619117733,4.15157467207831,4.16482629473139,-0.1798524726130584,0.00018028001722303471,-0.17991979027782434,-0.17978515494829245,sac,1.8335241913960623,0.3967479688681486,0.006977087628136816,0.3941426815311033,0.3993532562051939,1.0,30,30
a2c_sac,2,0.01,0.4968829556250002,0.0023822590339038522,0.49599340548239307,0.4977725057676073,2.003598722927174,0.006843596560879444,2.001043281973845,2.006154163880503,3.5217973431859693,0.01757645108494171,3.5152341884884235,3.528360497883515,-0.18004334517577608,5.646012854083702e-17,-0.18004334517577608,-0.18004334517577608,sac,1.8335241913960623,0.17007453153111207,0.006843596560879443,0.16751909057778305,0.1726299724844411,1.0,30,30
a2c_sac,3,0.35,0.36381948693566707,0.12253621176179913,0.3180637134887212,0.40957526038261294,1.5078136754790876,0.42314371865570277,1.3498092142024054,1.6658181367557698,2.2290861813168594,1.1619528227753284,1.7952058666691548,2.662966495964564,-0.22678590613794544,0.04322596937627713,-0.24292674837036501,-0.21064506390552587,sac,1.8335241913960623,-0.32571051591697425,0.42314371865570277,-0.4837149771936565,-0.16770605464029195,0.23333333333333334,7,30
a2c_sac,4,0.01,0.5836108019309999,0.00026539030218465014,0.5835117035635281,0.5837099002984717,2.235240798578267,0.0009907092199687127,2.234870861675788,2.2356107354807464,4.167165659632792,0.0019981592270463745,4.166419534715192,4.167911784550391,-0.17999028877383166,1.0020754539636452e-05,-0.1799940305850717,-0.17998654696259161,sac,1.8335241913960623,0.40171660718220464,0.0009907092199687127,0.4013466702797255,0.4020865440846838,1.0,30,30
a2c_sac,5,0.01,0.5433002953876664,0.048625911287737356,0.5251430817073703,0.5614575090679625,2.125622724174861,0.13034468672676944,2.076951218257273,2.174294230092449,3.8707630665268193,0.3610142302224055,3.7359581375047717,4.005567995548867,-0.17985740683961354,5.646012854083702e-17,-0.17985740683961354,-0.17985740683961354,sac,1.8335241913960623,0.29209853277879877,0.13034468672676944,0.243427026861211,0.34077003869638656,1.0,30,30
ppo_sac,1,0.01,0.49482830981266696,0.0008256139017363968,0.4945200205151658,0.4951365991101681,1.8949539070715862,0.0024635443000139024,1.8940340045117856,1.8958738096313867,3.488366280621046,0.020475059883865304,3.480720767609921,3.496011793632171,-0.1809903785377572,0.000769067346988857,-0.1812775530047031,-0.1807032040708113,ppo,1.8413295497115678,0.053624357360018374,0.002463544300013902,0.052704454800217744,0.054544259919819,1.0,30,30
ppo_sac,2,0.23,0.4977750822599999,1.1292025708167404e-16,0.4977750822599999,0.4977750822599999,1.9095123752226821,0.0,1.9095123752226821,1.9095123752226821,3.4803122817019125,0.0,3.4803122817019125,3.4803122817019125,-0.18252997943843052,0.0,-0.18252997943843052,-0.18252997943843052,ppo,1.8413295497115678,0.06818282551111432,0.0,0.06818282551111432,0.06818282551111432,1.0,30,30
ppo_sac,3,0.01,0.49955241772866626,0.015409233229372205,0.49379851547808185,0.5053063199792507,1.8955572592481131,0.060186313039214505,1.8730833206104265,1.9180311978857998,3.4876390959860766,0.23073194455355214,3.4014823719436507,3.5737958200285025,-0.1832712407779861,0.007121187161657912,-0.18593033576515217,-0.18061214579082002,ppo,1.8413295497115678,0.05422770953654563,0.060186313039214505,0.03175377089885889,0.07670164817423238,0.7666666666666667,23,30
ppo_sac,4,0.23,0.49096939479999985,0.006441869401207825,0.48856396123339463,0.49337482836660507,1.8822993489641255,0.023997350741252345,1.8733385909314053,1.8912601069968458,3.3891321215951886,0.045555401311573804,3.372121455182969,3.406142788007408,-0.18477470548831754,0.0006528741139297029,-0.1850184926889894,-0.18453091828764567,ppo,1.8413295497115678,0.04096979925255765,0.02399735074125234,0.032009041219837484,0.049930557285277816,1.0,30,30
ppo_sac,5,0.23,0.4891097345126664,0.006873016080043091,0.48654330813034125,0.4916761608949916,1.8750182702369809,0.026216634950179552,1.865228817861437,1.8848077226125248,3.3956371382437625,0.062056629793292455,3.3724648118524216,3.4188094646351033,-0.18370924765904612,0.0014157817621498036,-0.18423790925734304,-0.1831805860607492,ppo,1.8413295497115678,0.03368872052541301,0.026216634950179552,0.023899268149869084,0.043478172900956936,0.9666666666666667,29,30
